ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;1;12;16;Q2;QQ3;PORTAL;6;182,83;3316,33
2021;1;14;14;Q2;QQ3;PORTAL;16;578,25;3907,5
2021;1;15;16;Q2;QQ3;PORTAL;4;67,25;6239,25
2021;1;17;14;Q2;QQ3;PORTAL;5;266,2;59919,8
2021;1;18;10;Q1;QQ1;PORTAL;5;194;63809,2
2021;1;19;9;Q1;QQ1;PORTAL;8;7390,75;51504
2021;1;19;12;Q1;QQ2;PORTAL;3;314,67;27034,33
2021;1;20;8;Q1;QQ1;PORTAL;10;1212,1;34632,2
2021;1;20;11;Q1;QQ2;PORTAL;8;35646,38;42933,13
2021;1;21;7;Q1;QQ1;PORTAL;1;2281;59017
2021;1;21;10;Q1;QQ1;PORTAL;4;69;22721,5
2021;1;22;9;Q1;QQ1;PORTAL;1;210;70234
2021;1;22;12;Q1;QQ2;PORTAL;7;52510,29;2671,86
2021;1;22;15;Q2;QQ3;PORTAL;16;43707,94;5988,5
2021;1;25;9;Q1;QQ1;PORTAL;4;196,25;733,25
2021;1;25;12;Q1;QQ2;PORTAL;6;167,83;55780,83
2021;1;26;8;Q1;QQ1;PORTAL;4;73,5;856,25
2021;1;26;11;Q1;QQ2;PORTAL;10;317,6;1932,8
2021;1;27;10;Q1;QQ1;PORTAL;19;38212,74;570
2021;1;28;9;Q1;QQ1;PORTAL;4;197,5;10878,75
2021;1;29;8;Q1;QQ1;PORTAL;1;67;52574
2021;2;10;17;Q2;QQ4;PORTAL;2;32,5;9092
2021;2;11;16;Q2;QQ3;PORTAL;7;9385;24713,57
2021;2;11;19;Q2;QQ4;PORTAL;2;349415,5;7958
2021;2;12;15;Q2;QQ3;PORTAL;2;54;7104
2021;2;13;14;Q2;QQ3;PORTAL;15;203,33;370
2021;2;14;13;Q1;QQ2;PORTAL;7;300;600
2021;2;15;12;Q1;QQ2;PORTAL;8;64798,38;6208
2021;2;15;15;Q2;QQ3;PORTAL;3;24043;4376
2021;2;16;11;Q1;QQ2;PORTAL;13;57,54;5690,31
2021;2;16;14;Q2;QQ3;PORTAL;2;3289,5;4382,5
2021;2;17;10;Q1;QQ1;PORTAL;10;35649,6;33762,3
2021;2;17;13;Q1;QQ2;PORTAL;1;36;2041
2021;2;18;12;Q1;QQ2;PORTAL;7;44086,57;20372,57
2021;2;18;15;Q2;QQ3;PORTAL;11;164,18;7257,82
2021;2;19;8;Q1;QQ1;PORTAL;1;17;73745
2021;2;19;11;Q1;QQ2;PORTAL;10;62697,5;35947,8
2021;2;19;17;Q2;QQ4;PORTAL;6;58729,67;8253,83
2021;2;22;8;Q1;QQ1;PORTAL;1;22;377
2021;2;22;11;Q1;QQ2;PORTAL;10;35403,8;4478,8
2021;2;22;14;Q2;QQ3;PORTAL;2;42,5;1774,5
2021;2;23;7;Q1;QQ1;PORTAL;4;77,25;52411,5
2021;2;23;10;Q1;QQ1;PORTAL;4;26,25;1579,5
2021;2;24;9;Q1;QQ1;PORTAL;10;37738;17312,4
2021;2;24;12;Q1;QQ2;PORTAL;3;312,33;1923,33
2021;2;25;8;Q1;QQ1;PORTAL;1;349;262
2021;2;26;10;Q1;QQ1;PORTAL;14;64353,86;46352,14
2021;3;8;18;Q2;QQ4;PORTAL;8;1806;56868,13
2021;3;9;17;Q2;QQ4;PORTAL;7;219,57;6578
2021;3;10;16;Q2;QQ3;PORTAL;5;321;24871,6
2021;3;10;19;Q2;QQ4;PORTAL;9;744,44;95487,44
2021;3;10;22;NULL;NULL;PORTAL;1;123;24596
2021;3;11;18;Q2;QQ4;PORTAL;2;231;19127
2021;3;12;17;Q2;QQ4;PORTAL;1;1349;25627
2021;3;15;11;Q1;QQ2;PORTAL;14;421,86;40928,71
2021;3;16;10;Q1;QQ1;PORTAL;16;252,25;628,31
2021;3;16;13;Q1;QQ2;PORTAL;11;7293,82;3387,18
2021;3;16;16;Q2;QQ3;PORTAL;1;26;4997
2021;3;17;9;Q1;QQ1;PORTAL;8;6415,75;1896,38
2021;3;17;12;Q1;QQ2;PORTAL;6;60562,67;2404,5
2021;3;17;15;Q2;QQ3;PORTAL;1;440;12568
2021;3;18;11;Q1;QQ2;PORTAL;2;52,5;6,5
2021;3;18;14;Q2;QQ3;PORTAL;1;21;2336
2021;3;18;17;Q2;QQ4;PORTAL;7;107672,14;10556,43
2021;3;19;10;Q1;QQ1;PORTAL;1;384;831
2021;3;19;13;Q1;QQ2;PORTAL;11;249,27;2288,55
2021;3;19;16;Q2;QQ3;PORTAL;2;544;8458
2021;3;22;10;Q1;QQ1;PORTAL;1;182;181734
2021;3;22;13;Q1;QQ2;PORTAL;12;85598,17;5540,75
2021;3;23;12;Q1;QQ2;PORTAL;3;2310,33;1857,33
2021;3;24;8;Q1;QQ1;PORTAL;3;121686;16128,67
2021;3;24;11;Q1;QQ2;PORTAL;20;330,95;1850,1
2021;3;26;9;Q1;QQ1;PORTAL;2;54;520
2021;4;7;18;Q2;QQ4;PORTAL;4;19666;5020
2021;4;8;17;Q2;QQ4;PORTAL;16;21464,94;16269,38
2021;4;9;16;Q2;QQ3;PORTAL;1;118;1836
2021;4;12;13;Q1;QQ2;PORTAL;2;178144,5;6886,5
2021;4;13;12;Q1;QQ2;PORTAL;7;42632,71;2961,14
2021;4;13;15;Q2;QQ3;PORTAL;5;78,4;17286,6
2021;4;14;11;Q1;QQ2;PORTAL;50;96005,06;1514768,28
2021;4;14;14;Q2;QQ3;PORTAL;12;59596,75;5646,75
2021;4;14;17;Q2;QQ4;PORTAL;1;52;6
2021;4;15;10;Q1;QQ1;PORTAL;10;45260;15048,7
2021;4;15;13;Q1;QQ2;PORTAL;3;98911,67;27635,33
2021;4;16;9;Q1;QQ1;PORTAL;2;9054;82003,5
2021;4;16;15;Q2;QQ3;PORTAL;8;77162,63;26435,75
2021;4;17;14;Q2;QQ3;PORTAL;1;169168;197888
2021;4;19;9;Q1;QQ1;PORTAL;3;3112,33;78289,33
2021;4;19;12;Q1;QQ2;PORTAL;3;1202,33;1325,33
